Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARG,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.7180099337095,4.95636996008236
AUS,3.88316480376135,3.86393433962627,3.91318943203036,4.66325162994434,5.02764746946789,3.92151782931303,2.02512731541893,3.97963375579748,3.09068718165635,4.22432172716931,3.15413925672789,2.75529824273126,3.77339268108837,3.58622797986055,1.89257360858259,2.22653807797504,2.40897178005686,3.91840962538336,2.60619844706027,2.60740103188527,2.20181015336807,2.77914262537222,2.31870938698817,2.90636311509867,2.1811091061096,-0.33468635945016,2.11183088925151,4.26894639349867
BGD,5.12127789724337,4.52291921684423,4.4898964976265,5.1770268731498,4.67015636882111,5.29329471892532,5.07728777526728,3.83312393993225,4.73956739963045,5.23953291029852,6.53594493875502,6.67190498576788,7.05859935449848,6.01378975738535,5.04512479919337,5.57178818533122,6.46437912497728,6.52145877906443,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158
BLR,-10.4000005284964,2.80000462766883,11.4000054580737,8.39999134340503,3.39999924144169,5.80000336082973,4.72530604998076,5.04526750544755,7.04319251194431,11.449743057227,9.40000158864025,9.99999472133968,8.60000659901785,10.199999472722,0.199995249384855,7.79826683524436,5.37870750437234,1.68713553434753,1.0034707715852,1.7262099894002,-3.82966307070085,-2.52583140897062,2.53162368036521,3.14963949909348,1.44620667102681,-0.672904125264921,2.43886608142535,-4.65824489149375
BRA,4.22379363350413,2.20886405039022,3.39484598630671,0.338097901207306,0.467937566477133,4.38794944745618,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015
CAN,2.68232830305229,1.68896120754063,4.28016686255228,3.89288652990767,5.14100348008584,5.13853918593026,1.87509813216803,2.9992553495694,1.80638513484521,3.09236383456562,3.21045435651203,2.6379438004107,2.04990461109004,0.995406309993598,-2.91508623949733,3.09080637403602,3.13719438973661,1.75566132540601,2.32581357393478,2.87346677184995,0.649970993709132,1.03855093491798,3.03383490260789,2.74296343112555,1.9084319253883,-5.03823344128351,5.28695689105889,3.81986633913397
CHL,8.93329586928566,6.80291659568033,7.39173926780252,4.18088662724911,-0.273631397756063,4.9716214885003,3.154034924374,3.20279913985533,4.72324526681116,6.67425416745972,5.83704571525745,6.04999082904382,5.16823098722429,3.7893928023371,-1.1180372326977,5.85165101730949,6.22389678693851,6.15534002096459,3.30850824469113,1.79264947361806,2.15194249853634,1.75303874553305,1.35769537797211,3.99002947521676,0.634367533828438,-6.14347479224092,11.3339570691911,2.05874008095333
CHN,10.9539543419,9.92255675282291,9.23677989187537,7.84595178729862,7.6616515004031,8.49009340597647,8.33573347817196,9.13363078966614,10.0380304810393,10.1136213776263,11.3945918098927,12.7209556654032,14.2308609331955,9.65067891939361,9.39872563259674,10.6358710644913,9.55083217877568,7.86373644862111,7.76615009773009,7.42576365632412,7.04132887873656,6.84876220495761,6.94720079331685,6.7497738324959,5.95050075367413,2.23863835634639,8.44846941687277,2.98908408613474
COL,5.20243759278655,2.05585471287195,3.43029367788374,0.569784088434517,-4.20401524244947,2.92486148176778,1.67789830787579,2.50398046659659,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.2888838865514
CYP,8.36246930466569,1.24858157644654,2.64089463952175,6.11084674642566,4.99796042248005,5.96531031488554,3.95256054086292,3.72295649883057,2.6232861229859,5.02634392575987,4.85300383835666,4.71382866563106,5.09806845261184,3.6468119905756,-2.01526235906867,2.28354499702917,0.416712762832276,-3.44738142393619,-6.58748225683094,-1.77606191187711,3.41892318781653,6.57358020185954,5.73347613913472,5.647664895964,5.53725481070528,-3.44359637887621,9.91131179221449,5.05812800841309
