"","Dim1","Dim2","Cluster","Country_Wave","Distance_to_Cluster_1","Country","Wave"
"1",-5.46289388029292,-23.7021186233315,"3","ALB3",17.0533133240991,"ALB",3
"2",-2.7860843367001,-12.6561402832833,"3","ALB4",9.15181052450529,"ALB",4
"3",38.3832506427243,2.44861749025321,"1","AND5",0,"AND",5
"4",33.100141706642,-4.8471375644914,"1","AND7",0,"AND",7
"5",0.396549579721017,-0.844665501098685,"2","ARG1",8.26389513901468,"ARG",1
"6",-2.26364134940663,-3.42282297098541,"2","ARG2",9.59207693351851,"ARG",2
"7",3.49322966732059,0.393124746982884,"2","ARG3",5.97568510670615,"ARG",3
"8",1.44206043601654,1.61610862122553,"2","ARG4",8.35105126028439,"ARG",4
"9",10.7647886598995,0.404460104068749,"1","ARG5",0,"ARG",5
"10",11.5597477131151,1.84017576097868,"1","ARG6",0,"ARG",6
"11",10.3251382425326,4.06794399836874,"2","ARG7",1.32469468863299,"ARG",7
"12",-4.44612746465794,10.154497735205,"2","ARM3",17.2856946735665,"ARM",3
"13",-16.4280851222841,-1.4511030536524,"3","ARM6",23.3893628781092,"ARM",6
"14",5.57510778025933,1.67904032948769,"2","AUS1",4.62829280906439,"AUS",1
"15",20.2904169979392,-5.93503890170556,"1","AUS3",0,"AUS",3
"16",26.0144025050637,-5.53435399147681,"1","AUS5",0,"AUS",5
"17",28.0365074432396,-7.4907499140729,"1","AUS6",0,"AUS",6
"18",35.4688886704563,-7.22894330452699,"1","AUS7",0,"AUS",7
"19",-9.66032993646403,12.6734653099518,"2","AZE3",23.0757613734244,"AZE",3
"20",-15.1302505362121,-0.124192232750564,"3","AZE6",22.6600034006988,"AZE",6
"21",-11.1271902275446,-11.34562359046,"3","BFA5",16.9461360353715,"BFA",5
"22",-23.8949625259495,-27.2149028155349,"3","BGD3",34.2697520735993,"BGD",3
"23",-31.9201495121955,-18.429659045902,"3","BGD4",38.7288128525819,"BGD",4
"24",-22.059667873138,-6.74909361997888,"3","BGD7",27.8312438380621,"BGD",7
"25",1.28738978025161,3.21928365531305,"2","BGR3",9.16602991625781,"BGR",3
"26",6.71510077794762,7.35418558123327,"2","BGR5",5.98245837239466,"BGR",5
"27",-1.18199799994087,-8.00665868181184,"3","BIH3",6.94165107689785,"BIH",3
"28",1.80233668782486,-6.41406634857816,"2","BIH4",4.64485782037137,"BIH",4
"29",4.72222199849218,10.1523030727347,"2","BLR2",8.96781738015258,"BLR",2
"30",-2.40655582084364,14.5375978590818,"2","BLR3",17.2800817573486,"BLR",3
"31",2.60057671116832,5.47929368350731,"2","BLR6",8.92587861030567,"BLR",6
"32",-8.279849271165,11.9948491078245,"2","BOL7",21.5378905774359,"BOL",7
"33",-0.85303340216335,-3.63764889996972,"2","BRA2",8.22205542263826,"BRA",2
"34",-6.64508753948046,13.2556284859317,"2","BRA3",20.5855161419569,"BRA",3
"35",1.326388080069,8.36887974633257,"2","BRA5",11.2977799393745,"BRA",5
"36",1.17544719766783,7.39445569544771,"2","BRA6",11.0246329764646,"BRA",6
"37",5.99007982417677,9.05154850762801,"2","BRA7",7.35446067887612,"BRA",7
"38",3.10580339459965,-0.121020196223782,"2","CAN1",6.11076417291409,"CAN",1
"39",15.0715437601749,-5.33749269223319,"1","CAN2",0,"CAN",2
"40",18.2965479930821,-4.90590014384104,"1","CAN4",0,"CAN",4
"41",19.6767753782406,-5.81335046000303,"1","CAN5",0,"CAN",5
"42",39.0740225538512,0.21772089828586,"1","CAN7",0,"CAN",7
"43",8.56855059910495,-0.0668002554982998,"2","CHE2",1.17811888127816,"CHE",2
"44",27.2164525052803,-1.78274932055642,"1","CHE3",0,"CHE",3
"45",30.8507355580579,-7.84694744934199,"1","CHE5",0,"CHE",5
"46",-8.62933637178998,0.00504520608318312,"3","CHL2",16.8092022894082,"CHL",2
"47",-1.49815837845729,4.59038345096327,"2","CHL3",12.2699110096036,"CHL",3
"48",0.266158176217994,9.74794803731913,"2","CHL4",12.8399135378605,"CHL",4
"49",6.5975833260745,11.326484232318,"2","CHL5",7.76074251864717,"CHL",5
"50",13.7194783456048,6.4125093000758,"1","CHL6",0,"CHL",6
"51",13.7204849502842,9.57676263914927,"2","CHL7",0.562948353588056,"CHL",7
"52",-2.57555622103974,-31.0512096833566,"3","CHN2",19.8319927423917,"CHN",2
"53",-0.623669355271837,-14.922950466376,"3","CHN3",7.95172061151137,"CHN",3
"54",-11.9009495135968,-25.5951257285528,"3","CHN4",23.2928247336765,"CHN",4
"55",-9.73722158209615,-8.06333682220104,"3","CHN5",15.4439539313339,"CHN",5
"56",-2.82619643593304,1.67417356955661,"2","CHN6",12.2473829046373,"CHN",6
"57",-6.61211037106011,-5.51659908571987,"3","CHN7",12.7985799455916,"CHN",7
"58",-7.06103024662461,2.97786609049925,"2","COL3",16.6375980783527,"COL",3
"59",-5.21022764272796,-0.185834106277847,"2","COL5",13.6272719398042,"COL",5
"60",-4.67899761702478,4.43267521416315,"2","COL6",15.0890005580295,"COL",6
"61",-0.384945172081097,8.59903942132175,"2","COL7",12.9470536170263,"COL",7
"62",5.7881456638425,-1.72000395057053,"2","CYP5",3.00460361946043,"CYP",5
"63",8.66629314093675,-4.02191042441167,"1","CYP6",0,"CYP",6
"64",5.24341677632718,-2.77018887648722,"2","CYP7",3.05679374553383,"CYP",7
"65",18.232351709308,17.9647075775813,"1","CZE2",0,"CZE",2
"66",21.4915082792365,10.4010252231633,"1","CZE3",0,"CZE",3
"67",35.4272417790207,1.20277401067754,"1","DEU3",0,"DEU",3
