A001,A002,A003,A004,A005,A006,D057,D059,D060,F115,F116,F117,F118,F119,F120,F121,F122,F123,E114,E115,E116,E117,E012,E015,E016,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E040,B008,Country_Wave,Years,Crime_Rate,GDP_growth,GDP_pc,Unemp_Rate,Education
1.14272474513438,1.68616527390901,2.02712815715622,2.96071094480823,1.3401297497683,2.05981308411215,2.27744510978044,2.69836400817996,3.02378686964795,2.46822429906542,2.05312208760485,1.3544776119403,4.30237358101135,3.43243243243243,3.29115128449096,5.78011472275335,3.78821178821179,2.11747851002865,2.99795918367347,2.5615141955836,3.397,1.58581016299137,0.669851380042463,2.45302325581395,1.47521047708138,1.47141518275539,3.08100558659218,1.99609756097561,2.8620019436346,2.40190476190476,2.79027645376549,5.68807339449541,5.95553453169347,5.07517309594461,5.70380952380952,3.90018832391714,5.05183788878417,1.70461236506379,ARG3,"[1995, 1996, 1997, 1998]",,5.829305149820107,10946.372165874318,15.844999999999999,11.642630000000002
1.11806098514464,1.71518987341772,1.90119521912351,3.13432835820896,1.31628638867034,1.90330188679245,2.06101694915254,2.8,3.11038961038961,2.42733017377567,1.88425196850394,1.26550079491256,4.33767361111111,3.37871287128713,2.62094155844156,5.46029173419773,4.06734867860188,1.99172870140612,2.78178539224527,2.4995374653099,3.31421006178288,1.69397993311037,0.645640074211503,2.46408839779006,1.44408945686901,1.35748407643312,3.24822134387352,2.23344370860927,2.88803418803419,2.50325203252033,2.79459901800327,6.00344827586207,4.89911218724778,5.656,6.67285945072698,4.17191283292978,4.3503384372285385,1.71099744245524,ARG4,"[2000, 2001, 2002, 2003, 2004]",7.892241170197442,8.93330704822538,11167.05400374783,16.1584,12.94255
1.11111111111111,1.56927710843373,1.78002018163471,2.93454179254783,1.35270541082164,2.16096579476861,2.21724137931034,2.82981090100111,3.18997912317328,2.56404958677686,1.70195272353546,1.42988741044012,5.58657243816254,4.2271186440678,3.3554347826087,6.73218142548596,4.24632352941176,2.29770114942529,2.86167512690355,2.71464330413016,3.46763392857143,1.5474372955289,0.579006772009029,2.42613065326633,1.47035175879397,1.27318548387097,3.13810483870968,2.01420765027322,2.76897689768977,2.21344717182497,2.648430836799343,5.52608695652174,5.32854209445585,6.9453125,6.08875128998968,4.711157455683,4.98770491803279,1.30603448275862,ARG5,"[2005, 2006, 2007, 2008]",5.55612148671562,7.490923849769068,15566.961752106501,9.472750000000001,12.6994
1.12354085603113,1.57003891050584,1.8701171875,2.88090551181102,1.58045409674235,2.45158102766798,2.43392299687825,2.93047034764826,3.17068273092369,2.53134328358209,1.84797630799605,1.60237388724036,5.87839305103149,3.61514195583596,3.7906976744186,6.86506276150628,3.840712700672423,2.43944265809218,2.60589519650655,2.52092511013216,3.54140127388535,1.49896480331263,0.443956043956044,2.36139630390144,1.56352459016393,1.51085832471562,2.86489151873767,2.14772727272727,2.73396424815983,2.22461538461538,2.340625,5.34499396863691,4.74668028600613,6.21290322580645,6.1158221302999,4.71001031991744,4.21641025641026,1.43120260021668,ARG6,"[2010, 2011, 2012, 2013, 2014]",6.589015601421724,6.17822454323345,19355.2365769549,7.2958,13.173304000000002
1.09172482552343,1.54137587238285,1.80980980980981,2.80719280719281,1.46840521564694,2.39393939393939,2.38713195201745,3.13764337851929,3.25356415478615,3.04964539007092,2.14111675126904,1.87575757575758,6.02341137123746,3.91947769314472,3.63025210084034,6.53059071729958,3.85763490241102,2.6627408993576,2.32803632236095,2.38628571428571,3.46227417640808,1.42651593011305,0.611392405063291,2.44386694386694,1.64724245577523,1.41419491525424,2.82948846539619,2.09853249475891,2.7328990228013,2.23789473684211,2.23452768729642,5.89842805320435,5.56530612244898,6.10526315789474,5.98130841121495,4.73872950819672,4.69025641025641,1.58305084745763,ARG7,"[2017, 2018, 2019, 2020, 2021, 2022]",5.15448445410905,6.164294290517013,24829.083455067,9.068833333333334,13.422358333333333
1.12060546875,1.41519607843137,1.6656819300837,2.48966535433071,1.66337611056269,2.48352188883424,2.20020586721565,2.89621676891616,3.1316180108857,2.07756504663721,2.15743011280039,1.26934378060725,4.59615384615385,4.15884115884116,4.82185628742515,5.91274169558751,6.20410205102551,3.07193158953722,3.11929824561404,2.71846619576186,3.67940446650124,1.64855256475368,0.746149761019649,2.1158357771261,1.56393924546791,1.36550710436061,2.43646138807429,1.26617647058824,2.14207650273224,2.21732673267327,2.51870324189526,5.34692737430168,5.59506172839506,3.81011403073872,5.0384236453202,3.18836291913215,4.04621435594887,1.41990904497221,AUS3,"[1995, 1996, 1997, 1998]",1.9234838875782025,4.08088505134058,22668.517227846398,8.25825,15.81291
1.07355021216407,1.46186742694227,1.61466570812365,2.48922413793103,1.8685376661743,2.70714285714286,2.07548526240115,2.90629470672389,3.30620985010707,2.32927702219041,2.03156384505022,1.48169418521177,5.83055756698045,4.68283852280956,5.74675324675325,6.73589001447178,6.58506819813352,3.27469358327325,3.20839363241679,2.69426289034132,3.60709117221418,1.53862815884477,0.627855563743552,1.8859649122807,1.62144420131291,1.47322720694645,2.36950354609929,1.24539007092199,2.17447728911319,2.10007147962831,2.648430836799343,5.51854599406528,5.6685837526959,4.87688984881209,5.18872017353579,3.76767676767677,4.31146359048306,1.32654545454545,AUS5,"[2005, 2006, 2007, 2008]",1.2773550921289498,3.317264540102017,35517.534967156076,4.611,
1.07692307692308,1.47545582047686,1.67065446868403,2.48256227758007,1.96590909090909,2.82464788732394,2.17328767123288,2.99930410577592,3.41353383458647,2.07912687585266,1.76807639836289,1.42019099590723,6.77869986168741,4.77107607950651,5.76986301369863,7.10302197802198,3.840712700672423,3.47111416781293,3.19958129797627,2.64220824598183,3.63814866760168,1.45644599303136,0.63869625520111,1.83449720670391,1.61781206171108,1.43393602225313,2.37457279562543,1.29074585635359,2.16631578947368,2.06293706293706,2.22979620520028,5.33192686357243,4.73255010366275,4.73130193905817,5.25069060773481,3.2543192812716,3.66161268090972,1.39408528198074,AUS6,"[2010, 2011, 2012, 2013, 2014]",1.0645821713064259,2.75350379247216,43423.427406761235,5.4526,
1.11037160288408,1.47961494903737,1.64635535307517,2.41183228029868,1.99539170506912,2.89772727272727,2.19405496354459,3.35123042505593,3.64253897550111,2.20570150922303,1.84868788386376,1.43502509760178,7.38772029562251,5.17337110481586,6.56232374506486,7.73827020915772,6.68877551020408,4.0384397964952,3.16399082568807,2.54399079930995,3.64891179839633,1.42971887550201,0.553846153846154,1.83817663817664,1.60227272727273,1.53160270880361,2.34905660377358,1.21857619577308,2.07885906040268,2.01675041876047,2.19340413638904,5.28987194412107,6.00447177193963,5.07899159663866,5.66219988833054,3.57868303571429,4.24176437744277,1.32673827020916,AUS7,"[2017, 2018, 2019, 2020, 2021, 2022]",0.8446823615017698,2.7573917781893242,54708.8031311922,5.2251666666666665,15.025971666666665
1.06369008535785,2.13034891375905,2.3478835978836,2.49832999331997,1.17554240631164,1.19513797634691,2.97054597701149,2.30173661360347,2.5356890459364,1.13241106719368,1.093599449415,1.04376657824934,3.3324065240257834,2.7044837203234633,3.516075892080608,1.79653102068045,1.173971679029,1.04152933421226,3.68608414239482,1.96997270245678,3.62211614956245,1.27221833449965,0.886346863468635,2.8983606557377,1.09508196721311,1.13180327868852,2.53602115003305,2.10252237591538,2.3129357087529,2.16678858814923,2.39204988308652,7.03738317757009,7.10650069156293,4.56955017301038,6.24529569892473,2.01742627345845,2.36666666666667,1.58275596612779,BGD3,"[1995, 1996, 1997, 1998]",,4.827780121215975,1342.7550405126724,2.51,
