Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IND,4.81043285133676,4.77096472149383,4.73075260223531,4.82576184342215,4.59211893735861,4.54562752332988,4.30224760652525,4.16420441138194,3.96728118920971,4.09147664158076,3.90555067072309,3.83503968275347,3.81292025697517,3.81185657282345,3.74489180043947,3.74492100127032,3.78810410805172,3.7252629496661,3.55331583011222,3.62257613036012,3.35430671568569,3.16142620301247,3.02888279891311,2.99378385759947,2.92666092999238,2.91115545352632,2.93627889313173,
ARG,,,,,,,8.34834280792868,9.42324762172539,7.75115556419001,6.04621868694569,5.62572777894156,5.34743773442615,5.36411380031375,5.88720663318102,6.49389936621435,5.80046925893628,6.04758007684834,6.3119206747939,7.24728815890076,7.53781983762934,6.55846615392808,6.01123358722838,5.25938076500315,5.36772568472051,5.15582342098159,5.36681384363525,4.62267855620475,
AUS,1.9774483129172,1.94378982624249,1.97715940910201,1.79553800205111,2.04777523448822,1.90346358335012,1.80277135832717,1.87925103528248,1.53307282263429,1.31994610203354,1.28397511557077,1.37293979634563,1.22414721104701,1.22835824555239,1.21416975810599,1.04908593619237,1.10927057676792,1.06910609399713,1.06006540430473,1.03538284526998,0.990754226978393,0.938183172742481,0.84586083389231,0.884735037869462,0.887322993851443,0.860925458639047,0.744567483256587,
BGD,,,,,,2.58759494598355,2.79333673596886,2.61145411057861,2.5427974290318,2.8114473171555,2.54909799950841,2.92086808171344,2.6801089033079,2.81870640176704,2.87580378852216,2.68749199813241,2.64028590102208,2.7049657645127,2.85203922703712,2.89430778238872,2.55654819285481,2.24740100606148,2.19353053922806,2.33987499251454,,,,
BLR,9.17633240346498,9.2943401588604,9.81643601166762,10.0024465443575,9.44871226372035,9.87668043113221,9.49887456961594,9.75789036186332,,,,,6.6049351179617,5.63965889871765,4.99092640356354,4.12067007233369,3.84259514659629,3.50741493306666,3.43612949833077,3.50741837038225,3.36061375115727,3.16230450623242,2.47221946386625,2.33096061826564,2.32582876256296,,,
BRA,20.7932131522543,23.4248819868581,24.0331008068879,24.5264547442023,24.736249894019,25.7997614021008,26.908980252251,27.5437239232765,27.9604675434352,26.1982810573398,25.4784150866907,26.0379315863291,25.0189417018062,26.0208631839934,26.4557107555774,26.6300331445086,26.3556376143373,28.1971430650446,28.179903857376,29.3586467160475,28.3564057690353,29.5891544359624,30.5930372112011,26.6360125717887,20.8104641962605,22.384065397269,,
CAN,2.00413647623131,2.1423370782219,1.96099743423899,1.85438210727604,1.77303929280403,1.77946888883004,1.78693753500192,1.85809528376467,1.73627308507896,1.95853125009744,2.06109303240051,1.86893669521027,1.81666262127041,1.84836537294587,1.81580492682648,1.64000010305207,1.774292977025,1.58250294806031,1.45164409531216,1.48285782460859,1.70994583417735,1.70573180158618,1.81920905577647,1.78748605315357,1.83622745922526,2.00323552889971,2.06525947364399,
CHE,1.16505455794207,1.17402585204926,1.2276002637224,1.06918453998546,1.24611507872752,0.960727278904281,1.19040978195707,1.18189014468534,,,,,,,0.659391381754641,0.664754602323023,0.581470163881045,0.56279983161029,0.704715797391488,0.500745561287532,0.688261827356886,0.537448324343614,0.532438080113473,0.587238094745934,0.536406335262006,0.544068822159298,0.483235941156359,
CHL,,,,,,,,,3.2347335473365,,3.56098253690455,3.61197042506372,3.73434307706899,3.52910217389993,3.74254898595635,3.18157401699654,3.70336446585693,2.50262790345923,3.17534207528993,2.47637997121972,2.34469553764708,3.42846787936184,4.24093820659053,4.41142252575542,3.9444343178286,4.79784927857005,3.63203867485069,
CHN,2.24571072330302,2.0687962298406,2.10615361955854,,,,,2.05132829907031,1.89258313764683,1.90551215066814,1.59170802242336,1.36875971812117,1.2197380785422,1.11346908670102,1.09526694544286,0.99466591452023,0.885346696134694,0.825868841792009,0.773199449343194,0.727914756317719,0.660106050334851,0.615882984238859,0.566555783864419,0.531025483737603,0.518966640910828,0.502270364156281,,
COL,62.0543156106234,63.7410863823297,62.2118253390669,60.8495355752557,63.12032958479,67.675400484081,69.8832455295369,70.1709726241374,57.2925607973552,48.525426693309,42.8957763612084,40.8646505564463,39.712208639696,36.8364366129257,35.6930758343931,34.4942938820122,35.5934489205592,35.9089822627757,33.35356924499,28.5852331937392,27.1287644105246,26.0404224330995,25.4344883492702,26.231325159933,25.7534726366066,24.2427633844347,27.4843651251417,
CYP,1.0435780813817,1.13628809902978,0.668545651361243,0.765311700522599,1.07342206955775,0.84367049394271,0.725516412217696,0.20362565662911,,1.57065313156331,1.92852593602212,1.42121090959393,1.21057145491134,0.823881580754126,1.71021104004234,0.708161696330527,0.785967167531522,1.90219846587694,1.02830539127663,0.93458340944524,1.26339195472003,1.08524925044756,0.579219427350576,1.23068743738878,1.22066686658477,1.21208497200488,1.28597928930355,
DEU,2.50483022671826,2.36528848739801,2.2103223107957,1.96505627034307,1.62585746048789,1.67255910629526,1.44882077122202,1.43903572131755,1.34854705026876,1.36833459393619,1.28552164744574,1.21708126997971,1.09381387220944,1.02317872893425,0.98817859057552,0.975098828664069,0.906373597027625,0.808137138983971,0.834959673376019,0.87467661550236,0.830965265091444,1.16966277365121,0.9839711463351,0.950580714040646,0.749265097821008,0.938448940112227,0.833247865481232,
EGY,,,,,,,,,0.620036070697145,0.415363675439132,0.660130201577017,0.680890797896673,0.827061898303727,1.15332161545055,1.06665339899544,2.10767808732305,3.03026722382926,2.41888523991349,,3.02325529819737,1.75085294090364,1.53531582927306,1.33609216061138,,,,,
